minor planet
and companion	type	semimajor axis (AU)	orbital period (yr)	eccentricity	diameter (km)	rotation period (hours)	semimajor axis (km)	orbital period (days)	diameter (km)	discovery
method	discovery date	announcement date
(66391) Moshup
(12326) Shirasaki	MB	2.263	3.404	0.188	3.7?	2.729	[8?]	1.044	0.9?	LC	6 Dec 2016	12 Jan 2017
(1338) Duponta	MB	2.264	3.405	0.112	7.7	3.855	[14?]	0.7321	1.8	LC	6 Mar 2007	27 Mar 2007
(4607) Seilandfarm	MB	2.264	3.406	0.019	7.1	3.968	[19?]	1.318	2.1	LC	17 Jan 2009	11 Mar 2009
(2486) Metsahovi	MB	2.268	3.416	0.080	8.42	4.452	?	?	?	LC	12 Dec 2006	26 Feb 2007
(10123) Fideoja	MB	2.269	3.419	0.206	3.3?	2.87	[13?]	2.352	1.2?	LC	12 Feb 2013	5 Aug 2015
(11227) Ksenborisova	MB	2.270	3.421	0.026	2.6	2.618	?	?	?	LC		
(3841) Dicicco	MB	2.274	3.429	0.160	6.2	3.595	[12?]	0.9012	>1.7	LC	2014	8 Dec 2014
(2516) Roman	MB	2.279	3.441	0.165	4.3	2.627	7?	0.6758	1.0	LC	22 Oct 2019	13 Dec 2019
(5500) Twilley	MB	2.280	3.442	0.090	4.3	2.955	8?	0.7315	>1.2	LC	Feb 2017	20 Dec 2019
(809) Lundia	MB	2.282	3.448	0.193	6.9	15.418	15.8	0.6424	6.1	LC	18 Sep 2005	1 Oct 2005
(317) Roxane
S/2009 (317) 1	MB	2.287	3.458	0.086	19.9	8.169	257	[14?]	5.3	AOT	24 Nov 2009	26 Nov 2009
(9260) Edwardolson	MB	2.289	3.464	0.230	4.0	3.085	[7?]	0.741	1.1	LC	6 Oct 2005	2 Nov 2005
(9972) Minoruoda	MB	2.290	3.466	0.199	9.1	?	?	?	?	LC	May 2017	5 Jun 2017
(3792) Preston	MB	2.292	3.470	0.220	5.2	2.928	?	1.95	?	LC	23 Jan 2016	Mar 2017
(6369) 1983 UC	MB	2.293	3.473	0.143	4.9?	3	[15?]	1.66	1.7?	LC	8 Sep 2013	5 Aug 2015
(99913) 1997 CZ5	MCA	2.294	3.474	0.397	6.8?	2.835	[11?]	0.6117	1.3?	LC	31 Dec 2010	3 Feb 2011
(16635) 1993 QO	MCA	2.299	3.485	0.284	4.6?	7.622	[12?]	1.344	1.2?	LC	2 Sep 2007	19 Nov 2007
(6245) Ikufumi	MB	2.302	3.492	0.178	7.9	2.922	13?	0.6433	1.8	LC	6 Oct 2018	27 Nov 2018
(218144) 2002 RL66	MCA	2.305	3.500	0.341	3.5?	587.0	?	?	?	LC	Mar 2010	Jul 2010
(136993) 1998 ST49	NEA APO	2.310	3.512	0.593	0.7	2.302	?	?	0.08	R	Oct 2012	Oct 2012
(6084) Bascom	MB	2.313	3.517	0.235	6.0	2.745	[20?]	1.813	2.2	LC	29 Dec 2005	6 Feb 2006
(3378) Susanvictoria	MB	2.316	3.525	0.092	6.6	?	?	?	?	LC	2017	8 Dec 2017
(4435) Holt	MCA	2.317	3.527	0.335	5.0	13.32	?	?	?	LC		27 Jan 2018
(25021) Nischaykumar	MB	2.318	3.530	0.101	2.0	2.534	?	0.9790	0.6	LC		May 2019
(17700) Oleksiygolubov	MB	2.321	3.537	0.192	3.3	3.838	[5]	0.645	>1.0	LC	20 Mar 2018	31 May 2018
(2006) Polonskaya	MB	2.324	3.543	0.193	4.5	3.118	[8?]	0.7979	1.0	LC	1 Nov 2005	10 Nov 2005
(72036) 2000 XM44	MB	2.325	3.545	0.275	2.6	2.582	5?	0.7822	>0.7	LC	18 Mar 2019	29 May 2019
(3034) Climenhaga	MB	2.326	3.546	0.209	10.0?	2.737	[19?]	0.7898	?	LC	1 May 2009	Jul 2013
(6100) Kunitomoikkansai	MB	2.330	3.556	0.134	3.8	4.302	7?	0.7692	>1.4	LC	Dec 2016	23 Oct 2018
(3703) Volkonskaya	MB	2.331	3.560	0.134	3.5	3.235	[8?]	1	1.4	LC	2005	Dec 2005
(6016) Carnelli	MB	2.333	3.562	0.215	3.46	2.803	[7?]	0.8888	0.69	LC	25 Aug 2016	6 Sep 2016
(68063) 2000 YJ66	NEA AMO	2.333	3.564	0.457	2.3	2.110	?	?	?	LC		Dec 2014
(3868) Mendoza	MB	2.334	3.565	0.098	9.1	2.771	[20?]	1.016	2.0	LC	25 Apr 2009	6 Jun 2009
(2343) Siding Spring	MB	2.334	3.567	0.256	5.11	2.106	[7?]	0.4912	>1.0	LC	6 Oct 2015	1 Dec 2015
(5481) Kiuchi	MB	2.339	3.578	0.063	7.5?	3.620	[15?]	0.8708	2.5	LC	13 Mar 2008	16 Apr 2008
(3951) Zichichi	MB	2.340	3.579	0.174	6.4	3.394	[16?]	1.150	2.1	LC	29 Nov 2006	14 Apr 2011
(7225) Huntress	MB	2.341	3.581	0.203	6.5	2.440	[10?]	0.6113	1.4	LC	7 Dec 2007	31 Jan 2008
(4666) Dietz	MB	2.341	3.581	0.233	6.8	2.952	[12?]	0.693	?	LC	2 Sep 2015	Oct 2015
